ID,Reason.for.absence,Month.of.absence,Day.of.the.week,Seasons,Transportation.expense,Distance.from.Residence.to.Work,Service.time,Age,Work.load.Average.day,Hit.target,Disciplinary.failure,Education,Son,Social.drinker,Social.smoker,Pet,Weight,Height,Absenteeism.time.in.hours
3,12,5,3,3,179,51,18,38,37,92,0,1,0,1,0,0,89,170,1
18,0,5,4,3,330,16,4,28,37,92,1,2,0,0,0,0,84,182,0
5,13,5,2,3,235,20,13,43,10,99,0,1,1,1,0,0,106,167,16
22,23,5,4,3,179,26,9,30,10,99,0,3,0,0,0,0,56,171,3
3,28,5,4,3,179,51,18,38,10,99,0,1,0,1,0,0,89,170,4
20,28,5,6,3,260,50,11,36,10,99,0,1,4,1,0,0,65,168,3
22,27,5,6,3,179,26,9,30,5,99,0,3,0,0,0,0,56,171,2
22,27,5,4,3,179,26,9,30,5,99,0,3,0,0,0,0,56,171,2
25,23,5,5,3,235,16,8,32,5,99,0,3,0,0,0,0,75,178,2
14,10,5,6,3,155,12,14,34,5,99,0,1,2,1,0,0,95,196,8
28,11,5,2,3,225,26,9,28,5,99,0,1,1,0,0,2,69,169,1
3,11,6,2,3,179,51,18,38,36,94,0,1,0,1,0,0,89,170,8
14,23,6,2,3,155,12,14,34,36,94,0,1,2,1,0,0,95,196,4
3,11,6,6,3,179,51,18,38,36,94,0,1,0,1,0,0,89,170,2
28,23,6,5,3,225,26,9,28,15,95,0,1,1,0,0,2,69,169,4
15,13,6,2,3,291,31,12,40,15,95,0,1,1,1,0,1,73,171,40
5,26,6,3,3,235,20,13,43,15,95,0,1,1,1,0,0,106,167,8
3,28,6,2,1,179,51,18,38,15,95,0,1,0,1,0,0,89,170,2
28,23,6,4,1,225,26,9,28,15,95,0,1,1,0,0,2,69,169,2
22,21,6,4,1,179,26,9,30,15,95,0,3,0,0,0,0,56,171,2
34,26,6,6,3,118,10,10,37,23,96,0,1,0,0,0,0,83,172,8
22,27,6,6,3,179,26,9,30,23,96,0,3,0,0,0,0,56,171,2
7,7,7,5,1,279,5,14,39,7,97,0,1,2,1,1,0,68,168,4
14,19,7,2,1,155,12,14,34,7,97,0,1,2,1,0,0,95,196,40
20,1,7,3,1,260,50,11,36,7,97,0,1,4,1,0,0,65,168,8
3,23,7,6,1,179,51,18,38,7,97,0,1,0,1,0,0,89,170,2
14,19,7,3,1,155,12,14,34,24,98,0,1,2,1,0,0,95,196,16
36,1,7,4,1,118,13,18,50,24,98,0,1,1,1,0,0,98,178,8
20,0,7,5,1,260,50,11,36,24,98,1,1,4,1,0,0,65,168,0
28,9,7,3,1,225,26,9,28,3,92,0,1,1,0,0,2,69,169,112
11,22,7,2,1,289,36,13,33,3,92,0,1,2,1,0,1,90,172,8
5,26,7,4,1,235,20,13,43,19,93,0,1,1,1,0,0,106,167,4
34,28,7,2,1,118,10,10,37,19,93,0,1,0,0,0,0,83,172,4
1,11,7,3,1,235,11,14,37,19,93,0,3,1,0,0,1,88,172,4
3,11,8,2,1,179,51,18,38,1,92,0,1,0,1,0,0,89,170,1
20,28,8,6,1,260,50,11,36,1,92,0,1,4,1,0,0,65,168,4
30,28,8,4,1,157,27,6,29,1,92,0,1,0,1,1,0,75,185,4
3,18,8,2,1,179,51,18,38,1,92,0,1,0,1,0,0,89,170,8
2,18,8,5,1,235,29,12,48,1,92,0,1,1,0,1,5,88,163,8
19,11,8,5,1,291,50,12,32,1,92,0,1,0,1,0,0,65,169,4
2,28,8,6,1,235,29,12,48,1,92,0,1,1,0,1,5,88,163,8
36,13,8,5,1,118,13,18,50,21,94,0,1,1,1,0,0,98,178,3
11,26,8,3,1,289,36,13,33,12,93,0,1,2,1,0,1,90,172,8
1,23,8,3,1,235,11,14,37,12,93,0,3,1,0,0,1,88,172,4
5,19,9,3,1,235,20,13,43,8,92,0,1,1,1,0,0,106,167,8
14,23,9,4,1,155,12,14,34,8,92,0,1,2,1,0,0,95,196,2
11,0,9,3,4,289,36,13,33,8,92,1,1,2,1,0,1,90,172,0
28,18,9,4,4,225,26,9,28,8,92,0,1,1,0,0,2,69,169,3
20,23,9,6,4,260,50,11,36,8,92,0,1,4,1,0,0,65,168,4
34,28,9,3,1,118,10,10,37,17,87,0,1,0,0,0,0,83,172,3
33,23,9,6,1,248,25,14,47,17,87,0,1,2,0,0,1,86,165,1
28,23,9,4,1,225,26,9,28,17,87,0,1,1,0,0,2,69,169,1
22,23,10,5,4,179,26,9,30,14,93,0,3,0,0,0,0,56,171,1
34,23,10,3,4,118,10,10,37,14,93,0,1,0,0,0,0,83,172,3
15,23,10,5,4,291,31,12,40,14,93,0,1,1,1,0,1,73,171,5
3,23,10,4,4,179,51,18,38,14,93,0,1,0,1,0,0,89,170,8
20,19,10,5,4,260,50,11,36,14,93,0,1,4,1,0,0,65,168,16
20,28,10,6,4,260,50,11,36,14,93,0,1,4,1,0,0,65,168,3
11,22,10,6,4,289,36,13,33,20,88,0,1,2,1,0,1,90,172,8
34,7,10,2,4,118,10,10,37,20,88,0,1,0,0,0,0,83,172,3
20,28,10,6,4,260,50,11,36,20,88,0,1,4,1,0,0,65,168,3
5,0,10,6,4,235,20,13,43,20,88,1,1,1,1,0,0,106,167,0
36,28,10,3,4,118,13,18,50,20,88,0,1,1,1,0,0,98,178,1
25,11,10,5,4,235,16,8,32,27,91,0,3,0,0,0,0,75,178,3
24,26,10,6,4,246,25,16,41,27,91,0,1,0,1,0,0,67,170,8
34,23,10,3,4,118,10,10,37,27,91,0,1,0,0,0,0,83,172,2
13,10,10,5,4,369,17,12,31,27,91,0,1,3,1,0,0,70,169,8
6,23,10,2,4,189,29,13,33,27,91,0,1,2,0,0,2,69,167,8
28,0,10,2,4,225,26,9,28,27,91,1,1,1,0,0,2,69,169,0
28,23,11,4,4,225,26,9,28,30,93,0,1,1,0,0,2,69,169,3
23,1,11,2,4,378,49,11,36,26,97,0,1,2,0,1,4,65,174,8
1,18,11,4,4,235,11,14,37,26,97,0,3,1,0,0,1,88,172,1
24,13,11,2,4,246,25,16,41,26,97,0,1,0,1,0,0,67,170,8
23,0,11,6,4,378,49,11,36,26,97,1,1,2,0,1,4,65,174,0
18,2,11,4,4,330,16,4,28,22,93,0,2,0,0,0,0,84,182,24
34,9,11,3,4,118,10,10,37,22,93,0,1,0,0,0,0,83,172,8
25,1,11,6,4,235,16,8,32,22,93,0,3,0,0,0,0,75,178,8
28,23,11,6,4,225,26,9,28,22,93,0,1,1,0,0,2,69,169,4
15,28,11,4,4,291,31,12,40,22,93,0,1,1,1,0,1,73,171,2
28,23,11,3,4,225,26,9,28,22,93,0,1,1,0,0,2,69,169,2
5,0,11,5,4,235,20,13,43,22,93,1,1,1,1,0,0,106,167,0
28,23,11,6,4,225,26,9,28,22,93,0,1,1,0,0,2,69,169,2
13,26,11,6,4,369,17,12,31,22,93,0,1,3,1,0,0,70,169,8
1,26,12,4,4,235,11,14,37,16,97,0,3,1,0,0,1,88,172,8
34,19,12,3,4,118,10,10,37,16,97,0,1,0,0,0,0,83,172,56
28,23,12,3,4,225,26,9,28,16,97,0,1,1,0,0,2,69,169,2
24,4,12,5,4,246,25,16,41,4,93,0,1,0,1,0,0,67,170,8
3,28,12,5,4,179,51,18,38,4,93,0,1,0,1,0,0,89,170,1
20,26,12,4,2,260,50,11,36,4,93,0,1,4,1,0,0,65,168,8
15,28,12,4,4,291,31,12,40,25,98,0,1,1,1,0,1,73,171,1
28,23,12,4,4,225,26,9,28,25,98,0,1,1,0,0,2,69,169,3
